gene1,gene2,GI_scores
AARS2,PTCD3,0.283793534442
AARS2,PTTG1,-1.68922952727
AARS2,PWP1,-0.8513761990009999
AARS2,QARS,0.127415004249
AARS2,RAD51,-0.130951613031
AARS2,RAE1,-0.142947398985
AARS2,RBBP8,0.142793530493
AARS2,RBFA,1.0774463234
AARS2,RBM17,-0.5070605263769999
AARS2,RBM25,-0.175734029851
AARS2,REXO2,1.12390687131
AARS2,RFC4,-0.132112684746
AARS2,RFC5,-0.156534455085
AARS2,RINT1,-0.287355842953
AARS2,RNF20,0.281894130365
AARS2,RNGTT,-0.1332365962
AARS2,ROMO1,-0.817180577772
AARS2,RPA3,1.7831246423299998
AARS2,RPF2,0.300612043843
AARS2,RPL10,0.612792042852
AARS2,RPL11,0.957835766969
AARS2,RPL23,-0.587175277989
AARS2,RPL24,1.43837944004
AARS2,RPL27,-0.579616814234
AARS2,RPL28,-0.234764367567
AARS2,RPL3,-0.545230157204
AARS2,RPL30,0.741154310875
AARS2,RPL32,-1.02810586594
AARS2,RPL35,0.21038449295000003
AARS2,RPL36A,0.6550409590640001
AARS2,RPL5,0.587122172812
AARS2,RPLP1,-0.431379969604
AARS2,RPLP2,-0.72103963737
AARS2,RPP30,0.368960147801
AARS2,RPP38,-0.513227315143
AARS2,RPS18,0.911616763961
AARS2,RPS27A,-0.37345617107
AARS2,RPS28,0.707534250141
AARS2,RPSA,0.39999436262800003
AARS2,RPTOR,0.0354266721655
AARS2,RRM1,-0.570151547397
AARS2,RTF1,0.10430851415100001
AARS2,SAP18,1.02532575175
AARS2,SCO1,0.6104514991309999
AARS2,SDHC,2.88219688449
AARS2,SEH1L,0.0320886011145
AARS2,SF3B1,0.380772466589
AARS2,SFXN1,1.04663654055
AARS2,SKA3,1.01264344009
AARS2,SKIV2L,0.49697156682800003
AARS2,SKIV2L2,0.343916558858
AARS2,SLC7A1,0.603869196182
AARS2,SLC7A6OS,-0.15294057417
AARS2,SMC5,-1.08465379388
AARS2,SMNDC1,0.389651288807
AARS2,SNAPC1,0.147372181042
AARS2,SNIP1,0.101866079465
AARS2,SNRNP200,-0.603698970744
AARS2,SNRNP70,0.544076442476
AARS2,SNRPB,-0.583943121516
AARS2,SNRPC,-1.0122820110100001
AARS2,SNRPD3,0.110146226406
AARS2,SNRPG,-0.617224863874
AARS2,SPAG7,-0.620908407753
AARS2,SPDL1,-0.640116534801
AARS2,SRFBP1,0.499097323337
AARS2,SRSF7,0.414168156596
AARS2,SSB,-0.105812845339
AARS2,SSBP1,0.394356683063
AARS2,STXBP4,-0.466495349497
AARS2,SYVN1,-0.106762016194
AARS2,TAF1,-0.249738508945
AARS2,TAF1A,-0.768323474411
AARS2,TAF2,-2.43806432903
AARS2,TBC1D31,0.849388240352
AARS2,TBCB,0.82576818139
AARS2,TCF25,-1.01252664084
AARS2,TCOF1,0.37658950833000004
AARS2,TFB1M,0.8001293781309999
AARS2,TGIF2,-0.5077343277049999
AARS2,TIMM22,-0.728091281692
AARS2,TIMM9,0.32453377746999995
AARS2,TIPIN,-0.313928278402
AARS2,TMEM261,-0.7222082549529999
AARS2,TOMM22,-2.1138971278
AARS2,TRA2B,0.6538133973529999
AARS2,TRMT5,0.15480670722999998
AARS2,TRNAU1AP,-0.300522361127
AARS2,TRPM7,0.19252878800099998
AARS2,TRRAP,-0.8382166528489999
AARS2,TSEN2,-0.36059183985699994
AARS2,TTC4,-0.511612657325
AARS2,TUBB,0.535320187937
AARS2,TUBGCP3,0.43133047085799997
AARS2,TUBGCP5,0.426211799462
AARS2,UBA2,0.220224104654
AARS2,UBA3,1.05510925446
AARS2,UMPS,-0.0544080016473
AARS2,UQCRB,0.587918138616
AARS2,USE1,0.28442286781
AARS2,VPS29,-0.18710487921900001
AARS2,WARS2,0.250177383792
AARS2,WDR36,0.52613603593
AARS2,WDR61,0.624856240142
AARS2,WDR7,-0.09671679404650001
AARS2,WDR77,0.07000601697049999
AARS2,XPO1,-1.6159028479100002
AARS2,XRN2,-0.5739545657039999
AARS2,YTHDC1,0.320418513902
AARS2,ZCCHC9,-0.19366186270799998
AARS2,ZMAT2,-0.7705075284180001
AARS2,ZMAT5,1.51455715766
AARS2,ZNF511,-0.0256559063355
AARS2,ZNF598,0.366057341351
AARS2,ZNF830,0.10698534037900001
AARS2,ZNHIT6,1.4588542032700003
AARS2,ZNRD1,0.0611587249318
AATF,ABCB7,0.6859790299770001
AATF,ACTL6A,0.027342510524
AATF,ACTR10,0.7536497989759999
AATF,ADAT2,0.0669756772996
AATF,AFG3L2,-1.2523746480700002
AATF,ANKZF1,0.616249158191
AATF,ARGLU1,0.927587312376
AATF,ARIH1,1.16953928682
AATF,ARL2,-0.145803833721
AATF,ASCC3,0.66641640346
AATF,ASNA1,-0.049123314797900004
AATF,ATP1A1,0.589140220656
AATF,ATP5A1,0.866448809584
AATF,ATP5F1,0.23816515260499999
AATF,ATP5J2,-0.025655350777
AATF,ATP6V1G1,0.245998387734
AATF,AURKA,1.28978005831
AATF,BDP1,0.9445064886139999
AATF,BNIP1,0.47250159480899995
AATF,BOD1L1,0.40020095354900004
AATF,BTF3,0.268314765686
AATF,BUB3,-0.212221799927
AATF,C11orf30,0.10876414672800001
AATF,C14orf2,-0.396472207766
AATF,C6orf203,-0.35299752537699997
AATF,C9orf114,0.17186044819600002
AATF,CACTIN,0.529668282518
AATF,CAMLG,-0.335226384038
AATF,CAPZB,0.394384033955
AATF,CARS,0.37861396870499997
AATF,CARS2,0.0649852759332
AATF,CCDC84,0.17762511936500003
AATF,CCNK,2.20810505029
AATF,CCT8,0.48348366363000006
AATF,CDC16,-0.0527134950055
AATF,CDC23,-0.493450564001
AATF,CDC26,0.7136657996250001
AATF,CDC27,0.0944357092505
AATF,CDC40,-0.484981428938
AATF,CDK1,-0.060284222194999994
AATF,CDK12,0.922469141742
AATF,CENPK,-0.028847945404500003
AATF,CENPM,0.538818634969
AATF,CENPP,0.355061624145
AATF,CENPW,-0.09629797190169999
AATF,CEP152,1.04823702125
AATF,CEP192,-0.755580997586
AATF,CHMP2A,-0.230576470139
AATF,CIRH1A,-1.6859329893500001
AATF,CMAS,0.873481537834
AATF,CNOT1,0.24410735528299998
AATF,COA3,0.58609474968
AATF,COPA,1.00650135796
AATF,COPE,1.1182869894
AATF,COPS4,-0.0071472170725
AATF,COQ2,-0.633943938568
AATF,COX16,-1.4689603187399998
AATF,COX5A,-0.366905006277
AATF,COX7C,-0.523211203293
AATF,CSTF3,0.411520510731
AATF,CTNNBL1,2.3545521312599997
AATF,CWC22,2.02510391009
AATF,DAP3,0.315953264063
AATF,DARS,1.4216340827899998
AATF,DCAF7,-0.00415552499725
AATF,DCTN4,0.27317612318000006
AATF,DDX18,-0.185287188742
AATF,DDX46,-0.287839566249
AATF,DHODH,-0.763358883725
AATF,DHX37,-0.38155474458300004
AATF,DICER1,-0.39017718261100004
AATF,DLST,0.8590865885169999
AATF,DNTTIP2,-0.867824615229
AATF,DUT,-0.069963069996
AATF,DYNC1H1,0.0696190812336
AATF,EBNA1BP2,1.7563391808400002
AATF,EEF1G,0.797892847975
AATF,EFR3A,0.467896287743
AATF,EIF2B2,-0.981931123521
AATF,EIF2B5,1.23800164497
AATF,EIF3C,0.007417341
AATF,EIF3H,0.463823453713
AATF,EIF3M,-0.04330456708430001
AATF,EIF4A1,1.72983240257
AATF,EIF4G1,-0.10289164488600001
AATF,EIF4G2,2.13844943342
AATF,EIF5B,0.0516685693661
AATF,EIF6,0.725955527642
AATF,ELP4,0.660977983325
AATF,EMC1,0.5095954147339999
AATF,EMC2,0.845019352171
AATF,EMC4,0.025693303407299996
AATF,EMC7,0.648667849144
AATF,EMG1,-1.7297162769999999
AATF,EXOSC2,0.0576546247495
AATF,EXOSC4,-0.332593375305
AATF,EXOSC6,-0.20749912621199998
AATF,FAM208A,-0.322188799433
AATF,FAM50A,-0.368032194868
AATF,FAM98B,0.280779849727
AATF,FARSA,-0.08877963515080001
AATF,FBXO28,0.9281078985529999
AATF,FDPS,-1.00979802898
AATF,FH,0.6812462799779999
AATF,FIP1L1,0.424909781762
AATF,GEMIN2,0.46413502989200006
AATF,GEMIN4,2.0449777244400003
AATF,GFER,-0.393534185052
AATF,GNL2,0.775920533687
AATF,GNL3L,-1.27805558576
AATF,GNPAT,0.0469827545705
AATF,GPN3,-1.00130160789
AATF,GTF2H4,0.683343539394
AATF,GTF3C3,-0.231309338374
AATF,GTPBP4,0.48035815967
AATF,HCCS,-0.10261496859500001
AATF,HSCB,0.373678224563
AATF,HUS1,0.619843292653
AATF,HYPK,0.581625665924
AATF,IARS,-0.0041618695775
AATF,ICT1,0.225247839668
AATF,IMPDH2,0.583638738713
AATF,INTS3,0.821521455753
AATF,INTS5,-0.43180720247500004
AATF,KARS,0.755847081399
AATF,KCTD10,1.71713900335
AATF,KDM1A,1.14086271819
AATF,KIAA1731,-1.38725012459
AATF,LARS,0.128469645736
AATF,LARS2,-0.300973543885
AATF,LEO1,-0.14972475526100001
AATF,LIAS,1.16074582452
AATF,LONP1,1.0431123619299998
AATF,Ltn1,-0.6869405235089999
AATF,MAPKAP1,-0.0814306097552
AATF,MARS,-0.186388062003
AATF,MARS2,1.03193115889
AATF,MASTL,-1.26761734466
AATF,MAX,0.882082287985
AATF,MBTPS2,0.09846856609999999
AATF,MCM3,1.0807512485200002
AATF,MCM3AP,1.71179378074
AATF,MCM4,1.35934570732
AATF,MED1,0.0877167045017
AATF,MED10,2.04491089502
AATF,MED14,0.194239882307
AATF,MED17,0.415308621776
AATF,MED22,0.7781269858140001
AATF,MED23,0.824881340522
AATF,MED24,0.945648359094
AATF,MED28,-0.34099687229599995
AATF,MED9,-0.8478907348260001
AATF,METAP2,-1.29190214003
AATF,METTL17,0.405168535476
AATF,MFAP1,0.8986004527320001
AATF,MINOS1,-0.968071006349
AATF,MINOS1-NBL1,-0.49653089831
AATF,MPHOSPH6,-1.8286316704900003
AATF,MRP63,0.025404088706200003
AATF,MRPL10,-0.247845717912
AATF,MRPL11,-0.0807892673115
AATF,MRPL13,0.118115137716
AATF,MRPL15,0.22279791885000003
AATF,MRPL16,0.365062601762
AATF,MRPL18,-0.38533270447800005
AATF,MRPL19,0.7662586740270001
AATF,MRPL22,0.511175581446
AATF,MRPL24,0.45232694798
AATF,MRPL27,-0.620057214272
AATF,MRPL3,-0.5837118791
AATF,MRPL32,1.0924925189
AATF,MRPL33,-0.40523112958999996
AATF,MRPL35,1.52557812566
AATF,MRPL36,0.616707288445
AATF,MRPL37,0.196262968352
AATF,MRPL39,0.608782118135
AATF,MRPL42,0.481437254045
AATF,MRPL43,0.161023846455
AATF,MRPL46,0.0118689210025
AATF,MRPS10,0.75640741555
AATF,MRPS11,0.477526621148
AATF,MRPS14,0.8797015594609999
AATF,MRPS16,0.125250009682
AATF,MRPS18A,-0.426310906465
AATF,MRPS18B,-0.9479079590100001
AATF,MRPS21,0.429238931584
AATF,MRPS23,0.512190504327
AATF,MRPS25,-0.40218151318499995
AATF,MRPS27,-0.20008204718199998
AATF,MRPS30,0.670780202286
AATF,MRPS35,0.412642671117
AATF,MRPS5,0.608281997284
AATF,MRPS9,0.0422569136498
AATF,MTBP,1.41346912936
AATF,MTERFD1,-0.786683617208
AATF,MTHFD2,-0.030937343621299997
AATF,MTOR,1.32564621735
AATF,MTPAP,-0.059432541060300006
AATF,MZT1,-0.387210647099
AATF,NAA25,0.354656918751
AATF,NACA,1.15113076677
AATF,NAMPT,1.67643630716
AATF,NAT10,0.33779284505400003
AATF,NCAPD2,-1.04592028675
AATF,NCBP1,0.562889142605
AATF,NDUFA2,-0.8611231136799998
AATF,NDUFA8,0.130689977154
AATF,NDUFA9,0.624453494735
AATF,NDUFB1,-0.23658261416700002
AATF,NDUFB2,0.771932769395
AATF,NDUFB4,-0.39360563014399996
AATF,NEMF,-0.405298672154
AATF,NFE2L1,-0.12147628161599999
AATF,NFYC,-1.45706689937
AATF,NIP7,1.6421796132100002
AATF,NOC2L,-0.188638481457
AATF,NOL10,-0.507293723652
AATF,NOL9,-0.116353183389
AATF,NOLC1,0.49439015241400003
AATF,NOP58,0.549503510499
AATF,NSMCE1,1.21325028278
AATF,NUBP1,1.3178315646799998
AATF,NUDC,1.5250120166699999
AATF,NUP43,0.33741489080700005
AATF,NUP54,0.6741472670890001
AATF,NUP85,0.183323018268
AATF,OGFOD1,0.821020685975
AATF,OPA1,-0.760727353753
AATF,ORAOV1,1.187849097
AATF,PAXBP1,-0.430105143869
AATF,PDCD7,-0.9622518396649999
AATF,PDRG1,0.005961332917499999
AATF,PDSS2,-1.2094562133700002
AATF,PET112,0.501948410521
AATF,PFAS,0.636739964663
AATF,PGD,0.261741248634
AATF,PGK1,0.0496282530895
AATF,PITRM1,-0.5952466023040001
AATF,PMF1,0.46130940464599995
AATF,PNISR,1.07500297219
AATF,PNN,0.443097307183
AATF,POLA1,2.5714594809
AATF,POLD1,0.028126271261
AATF,POLD3,1.5644124809200002
AATF,POLE,0.876067397212
AATF,POLE2,1.31257959761
AATF,POLN,0.20912545050099998
AATF,POLR2B,0.882171994005
AATF,POLR2K,-0.208289225808
AATF,POLR3A,0.478252993362
AATF,POLR3B,0.7862562082350001
AATF,PPAT,1.2926406829600001
AATF,PPCS,1.5498814209099998
AATF,PPIE,0.293957053425
AATF,PPP2R1A,-0.004862955853100001
AATF,PPP2R2A,-0.343881710084
AATF,PPWD1,0.441917052763
AATF,PRIM2,0.045588026695
AATF,PRMT5,-0.133646299617
AATF,PSMB6,0.8909931223119999
AATF,PSMB7,-0.620190734165
AATF,PSMC1,1.2625569697499999
AATF,PSMC2,0.947542718061
AATF,PSMD12,-0.28126722033
AATF,PSMD4,-0.682012922366
AATF,PSMD6,1.0188536387
