ANKRD40,ACSF2
ANKRD42,AAMDC
ANKRD49,AASDHPPT
ANKRD49,ABI1
ANKRD49,ADAT2
ANKRD49,AK6
ANKRD52,AGO2
ANKRD52,ANKRD33
ANKRD54,ADORA2A
ANKRD54,AIFM3
ANKRD61,ABCB5
ANKRD61,AGR3
ANKRD61,AIMP2
ANKRD62,ANKRD12
ANKRD65,ACAP3
ANKS3,ADCY9
ANKS4B,ABCC6
ANKS4B,ACSM1
ANKS4B,ACSM2A
ANKS4B,ACSM3
ANKS4B,ACSM5
ANKS4B,AHSP
ANLN,ACTG1
ANO1,ACY3
ANO1,AHNAK
ANO1,ALDH3B2
ANO1,ANKRD13D
ANO3,ALX4
ANO4,ACACB
ANO4,ALDH1L2
ANO8,ABHD8
ANO8,ADAMTS10
ANO8,AKAP8
ANO8,AKAP8L
ANO8,ANGPTL8
ANO8,ANKLE1
ANP32B,ANP32A
ANP32D,ADAMTS20
ANP32E,ACP6
ANP32E,ADAM15
ANP32E,ADAMTSL4
ANTXRL,AGAP5
ANTXRL,AGAP6
ANTXRL,ALOX5
ANXA2R,AMACR
ANXA4,ACTG2
ANXA8L1,AGAP5
ANXA8L1,ALOX5
ANXA8L1,ANTXRL
ANXA9,ACP6
ANXA9,ADAMTSL4
ANXA9,ANKRD35
ANXA9,ANP32E
AOC2,AARSD1
AOC2,ACBD4
AOC2,ADAM11
AOC2,ANKRD40
AOC3,AARSD1
AOC3,ADAM11
AOC3,AOC2
AP1B1,ADORA2A
AP1B1,AIFM3
AP1B1,ANKRD54
AP1G1,AFTPH
AP1G1,AP1B1
AP1G2,ADCY4
AP1G2,AJUBA
AP1G2,ANG
AP1M1,AP1G1
AP1M2,ANGPTL8
AP1S1,AGFG2
AP1S1,ALKBH4
AP2A1,AAGAB
AP2A1,ADM5
AP2A1,AGFG1
AP2A2,AP2A1
AP2B1,AAGAB
AP2B1,AGFG1
AP2B1,AP2A1
AP2M1,AAGAB
AP2M1,ACLY
AP2M1,ACO2
AP2M1,ADSL
AP2M1,ADSS
AP2M1,AGFG1
AP2M1,AHCY
AP2M1,AMD1
AP2M1,AP2A1
AP2M1,AP2B1
AP2S1,AAGAB
AP2S1,ACO2
AP2S1,ADSL
AP2S1,ADSS
AP2S1,AGFG1
AP2S1,AHCY
AP2S1,AMD1
AP2S1,AP2A1
AP2S1,AP2B1
AP2S1,AP2M1
AP3D1,AP3B1
AP3M1,ADIRF
AP3M1,ADK
AP3M1,ANXA7
AP3M2,ADAM2
AP3M2,ADAM32
AP3M2,ADAM9
AP3M2,ADGRA2
AP3M2,ADRB3
AP3M2,ANK1
AP4B1,AKNAD1
AP4B1,AMPD1
AP4M1,ACTL6B
AP5B1,ACY3
AP5B1,ALDH3B2
AP5S1,ABHD12
AP5S1,ADAM33
AP5S1,ADRA1D
APBA1,ALDH1A1
APBA3,ACSBG2
APBA3,ANGPTL8
APC2,ADAMTSL5
APC2,ANGPTL6
APCDD1,ADCYAP1
APCDD1L,ABHD16B
APCDD1L,ADA
APCS,ACP6
APLP1,ACP4
APLP1,ACP7
APLP1,ACTN4
APLP1,ADM5
APLP1,AKT2
APLP1,ALKBH6
APLP1,ANKRD27
APMAP,ABHD12
APMAP,ACSS1
APMAP,ANKEF1
APOA1,ANKK1
APOA2,ADAMTS4
APOA2,AIM2
